"","Rating","Text"
"20",4.5,"  Spielbergs best work in almost a decade.Truly a movie that deserves to be called a movie.You can feel and see in almost every single shot how much love writers,creators and actors put into this.Sheridan and especially Cooke deliver stellar performances and easily carry the whole movie as it would be nothing.I didnt like all of the changes from the book but can understand for most of them why they had to be made,so all in all most changes make sense.As a huge fan of Cline`s Novel i still have to admit : The Movie has its flaws.Especially the World Building,the Weight of the Oasis within the Real World etc. is almost entirely missing.And even tho i can forgive that(i think a lot easier to forgive if you know the book) that in combination with the not-so-great Sorento casting casts a tiny bit of a shadow about a great movie experience."
"21",4.5,"  READY PLAYER ONE will surely be one of the most exciting films to come out this year: it is another instant classic that is another vibrant part of Steven Spielberg's almost unparalleled catalogue of work. Younger filmmakers could learn a lot from this old master."
"22",4.5,"  Spielbergs best work in almost a decade.Truly a movie that deserves to be called a movie.You can feel and see in almost every single shot how much love writers,creators and actors put into this.Sheridan and especially Cooke deliver stellar performances and easily carry the whole movie as it would be nothing.I didnt like all of the changes from the book but can understand for most of them why they had to be made,so all in all most changes make sense.As a huge fan of Cline`s Novel i still have to admit : The Movie has its flaws.Especially the World Building,the Weight of the Oasis within the Real World etc. is almost entirely missing.And even tho i can forgive that(i think a lot easier to forgive if you know the book) that in combination with the not-so-great Sorento casting casts a tiny bit of a shadow about a great movie experience."
"23",3,"  An action adventure geared towards younger audiences that faills far below the expectations created by the book. The movie makers said ""show me the money,"" and delivered a fast paced video game, that while hitting the major plot points, lacked the gravity of human issues, world building, and character development that makes the book great. Would have rather had a series of movies that told the story well, than one rushed movie that fit into a one movie made to appeal to the commercial masses."
"24",5,"  This movie was a lot of fun. Those who are complaining about seeing stuff they love being used in a new setting, chill out. Enjoy life, stop dragging everything down. This was a fun movie."
"25",3.5,"  To be honest I like the plot, it is easy to understand but when I asked friends about the movie they barely remembered it not to say it wasn't memorable but they actually spent more time searching for references to other franchises which I'm going to admit, watching a Gundam fight Mechagodzilla gave me a total nerdgasm."
"26",4.5,"  Ready Player One was a fun movie. While I had not read the book, my friend who had said it was totally different but still a good movie. I enjoy CGI when the story supports it, which this totally did. the acting was good, tbe story good though a little predictable, but still a lot of fun. The movie trailer does not do the movie justice; the movie is better than the trailer suggests."
"27",3.5,"  The story telling is too long and almost went to being bored. But the last 45 minutes is awesome and exiting."
"28",1,"  Hope you weren't expecting anything even close to book. Artemis was turned into a bimbo. And it was a complete rewrite. If I hadn't had my kids I would have walked out"
"29",5,"  Honestly, probably the best movie I've seen in a while. It was a thrilling, hilarious adventure that made 2 hours seem like 30 min. I wanted more. The best part was the references to about 90% of my fandoms. I will own this movie when it comes out, and I will watch it more than once. Well done, Spielberg. Well done."
"30",1.5,"  I was excited for this movie as i really enjoyed the book but... plain and simple i found it rather bad. Many of the plot lines from the book are are either skipped or done away with all together. The characters are misrepresented e.g. in the book Aech is described as a ""athletic Caucasian heterosexual male""(ch. 33) but in the movie he is some sort of robotic ogre person In the end despite the movies over 2 hour run time it felt rushed. I feel that this movie would be more enjoyable if the audience member has NOT read the book and has no intention of doing so. Either watch the movie or read the book or do both and face disappointment."
"31",3,"  I know its not always fair to compare the book with the movie, but sometimes its hard not to and in this case, it strayed REALLY far from the source material. As a movie, it was pretty good and the visuals were really good. If I had not read the book, I think I would have loved it, but the book is WAY better. And it seems odd that Steven went that far out of the way to change so many details from the book. But a good watch nonetheless."
"32",1,"  This review is full of spoilers. You have been warned. We all remember that amazing feeling. We get home from school, run into the living room, boot up our console and wait for our favorite game to load. As it turns on, we get ready to battle, and the game lets us know it's time as those familiar words flash before our eyes: ""Ready Player One.""You would think a movie that was called ""Ready Player One"" would at least include those beautiful words the very first time our protagonist, Wade Watts, logs into the Oasis, right? Well, not so much.In a movie literally called Ready Player One, there wasn't much emphasis on actual gaming. This is the very first place where this movie goes so terribly wrong. Alright, but let's back up a bit. Ready Player One is based on the best-selling Ernest Cline novel of the same name. This dystopian book is set in a post-apocalyptic America in the not so distant future. The basic background we get at the beginning of the book is that our world has gone to shit. In the year 2044 the world has been facing an energy crisis for decades that was caused by global warming, overpopulation, and the depletion of fossil fuels. Basically, the world was destroyed by...humans. Rather than doing something to fix the problems they caused, humans escaped into a world of virtual reality, and began to live, work, and even get married to people they have never actually met, all inside the MMORPG called, The OASIS. The world is going to hell, but the OASIS is actually fairly stable. The OASIS has its own government, where Wil Wheaten is President, and the OASIS currency is actually much stronger than any you could get in real life.However, things get interesting when James Halliday, the reclusive creator of the Oasis dies, leaving behind no heir to inherit his vast fortune, and control of his company and all of the OASIS. So, Halliday leaves behind an Easter Egg in his game. Anyone who finds it, will win his entire estate, and the right to run the OASIS.The problem is, the company IOI is after the OASIS for profit. Nolan Sorrento, IOI's CEO, wants to make players charge for the right to access the OASIS. Since the world has basically been destroyed and a very small percentage of people control the world's tangible wealth, the only good thing most people have in their lives is the OASIS.Okay, so why I am giving you this vast background on the book? It's to highlight one of the biggest problems in the film adaptation of the novel. THERE ARE STAKES. The action of this story is fueled by the fact that if IOI gains control of the OASIS there will be no more reason for most of the world's population to even want to keep living. Most people work inside the Oasis, so if they have to pay a monthly fee just to get to work, what chance do they ever have of getting ahead? In the book, most people are starving because there is literally not enough food left on earth. This novel is brilliant, but I obviously knew there was absolutely NO WAY this movie would be able to replicate the epic quest laid out in the books pages, but I had really hoped that the spirit of the story would remain intact. In fact, I couldn't find anything in this movie that reminded me of the source material. There are serious spoilers ahead, so continue reading with caution.In the book, it was important to Halliday that a student find the first key. He wanted a regular person to begin this journey, so to start the movie with Wade already being this amazing Gunter, with amazing weapons, and a freaking DeLorean immediately made me feel like I wasn't connected to his character. He was clearly not a regular guy. Also, making Wade, Aech, and Art3mis go to school adds that human element that is missing from the film. People still have to have lives. They have to go to school or work. I mean yes, they go to school in the OASIS, fine. But they still have the expectation to do the boring monotonous things in life. It would have made the movie feel more real. It also, again, would have added additional stakes. ""I can't find the egg and save the OASIS from IOI until I finish school, otherwise I'll get kicked out of school and lose my internet access, gloves, and goggles to access the OASIS.""Also, I felt cheated that the movie picked up in the middle of the hunt. They dismissed whoever it was that figured out the first clue was a race...except.... how did they figure it out? It made NO sense that it would be a race based on Halliday's first clue, and it felt like cheating to skip over that.Then there is the fact that the spirit of the quest was completely altered in this adaptation. The quest itself should have felt like an adventure, but it was just a series of random events that led to a key. I mean, I obviously wanted to see Parzival Joust for the key against Acererak - but if that wasn't possible in the movie for whatever reason couldn't we have at least flavored the challenge to be similar? Spielburg used a flashy car chase because he wanted to be flashy. It wasn't about storytelling, it was about special effects. The quest for each key felt so lazy and figuring out the challenge was so easy for everyone that once again, there were no stakes. I get it, it was a race to beat IOI, but it should have been about so much more.In the book, IOI has castle Anorak encased in the Orb of Osuvox for like a month while the other Gunters hurried to figure out the last clue and catch up, but Sorrento and his band of Sixers (Suxors, as the book called them which would have made for an entertaining addition to this movie) couldn't figure out how to use the key and get past the gate because it never occurred to people so greedy to work together. IOI only used the Cataclyst to blow up the planet after Parzival and his friends showed them how to open the gate. I mean, that's an actual reason why IOI would destroy so many of its own Avatars. It wasn't just because Sorerento was throwing a hissy fit. That's also high stakes. IOI had a month, alone with the key and they couldn't figure it out. Let's address some other issues with the movie. Firstly, how the hell was it so damn easy for everyone to find each other? Daito and Shoto are in Japan in the book, which gives a broader scope to the story. This isn't a book about America, it's a book about the world. Also, Wade would have NEVER just told all of his friends how to find the first key. It's so dumb that the movie copped out like that. It goes against everything his character stood for, which is why it made more sense that Daito and Shoto don't meet Parzival, Art3mis, and Aech until after they find the key for themselves. This is where the movie continues to lack a human connection. Life just doesn't work this way. People don't all just magically find each other, and the entire freaking world is not based in Ohio. It's just...ugh. Let's get to Arti for a minute. In the books, saving the OASIS is the most important thing there is. She kind of hates that Z just wants to take the money and run. She wants to save the OASIS so she can use the money, the power, and the resources to save the world. She wants to feed people, get them into safe housing, and clean up the streets. She fights off Wade's attraction because she cannot afford to get sidetracked. Even at the end, when they are in the same house, she refuses to meet him in person until one of them has the egg. It's too important to let her emotions compromise what she views as the fate of the planet. That's a great character. She is driven, smart, complex, scared...she is real. Arti in the movie is flat. She dumps Z, but then...just kidding, ""I was really just coming to find you all along."" The fact that they meet so early in the movie takes away something so beautiful. It takes away the longing, the fight for their relationship, and the eventual terror he feels when he finds out her life is in danger. Also, that whole, ""I'm gonna fall on my own sword and be captured because you are the only one who can save the Oasis"" shit she pulls in the movie is so dumb. She would have been like, ""try to keep up, fool.""And why does EVERYONE just bow down to Wade and act like he is the only one who can win for the entire movie? I mean, racing against the Sixers is good, but why can't you also be racing against each other? It just would have made a much more interesting story.Getting back to my argument that there were no stakes in this movie, let's talk about Daito for a moment. His death in the book changes the entire dynamic of the hunt, and the race to beat the sixers. Daito dies, IRL, at the hands of IOI and that changes everything. I mean, we already knew Sorrento was capable of this, but for him to actually murder a member of the High Five is a wakeup call. It changes the way Wade views the entire quest and is probably what makes him allow himself to get arrested by IOI (under a fake name) and use his resources as an ""employee"" (with the help of some sweet hacker backdoor codes) to take down the Orb protecting Castle Anorak. Speaking of which, how the hell was it so easy to get out of IOI? I mean, Arti got her detector and alarm off easily enough...fine. Let's ignore that. But then she breaks into Sorrento's office unnoticed, gets out just as easily, then goes into the IOI war room, kills other sixers USING A SIXER AVATAR, and nobody thinks to take off their damn helmet and find the Sixer who is killing them all? Also, literally everyone is looking for her and they don't realize she is still inside IOI headquarters. You got drones that can find a dude with a face tattoo in five minutes, but you don't have security cameras in your headquarters? Seriously? Also, she is in a Sixer Suit, using a Sixer account, wearing a Sixer uniform. So how do we see her inside the Oasis as her own avatar. That is ridiculous. This is where I will address the movie fails in even following its own rules. Early on, it is established that to run and move your own body in the Oasis, you need a Haptic Suit. So how the hell are people just running around in the streets in Cleveland, wearing regular clothes, but still somehow shooting at everyone in the Battle for Castle Anorak? It makes no sense.Also, I challenge you to run around a busy street, with your eyes covered, pretending to be battling someone, and not get yourself run over by a bus. This is not real life, people. I think the actors were fine. They seemed well cast and may have been good if they had been given better writing. I mean, come on with this one. ""I won't be like Halliday. I'll jump."" Wade says, as he kisses, Samantha. I mean...really? That's the best you have. My friend groaned out loud in the theater with that one.The actor who played Halliday did a nice job, and so props to him, but Simon Pegg was painfully under utilized as Ogdon Morrow. I think I would have given the entire movie a break if they had allowed him to be the one who saves Z and Arti in the nightclub by using his overly strong, immortal OASIS avatar, ""The Great and Powerful Og."" That scene in the book was amazing and was 100% the reason why I was excited about Pegg's casting in this film. Also, I liked that it was Og who got the kids to safety in the end. He was so disgusted at the evil way IOI was twisting Halladay's challenge, that though he wouldn't interfere with the game, he also wouldn't let the kids get murdered. Stakes. We keep coming back to that. I wanted to like this film. I really really wanted to, but in the end, I didn't enjoy it at all. It focused 100% on special effects and failed where movies matter most: In the telling of a story and creation of characters the audience actually cares about."
"33",5,"  I loved the movie and it was amazing incredibly amazing the only two things is I wanted to see WAIT SPOILER ALERT SPOILER ALERT okay I wanted just o see tracer from overwatch shake hands with the Scout from Team Fortress 2 as they attack the shield and the guards I also wanted to see As everyone was attacking the shield and troopers I wanted to see a trooper look down and see a Uganda knuckles and he Spits on the trooper and then a bunch more Uganda knuckles come and spit on him and he just dies from the spit it would be funny but other then that it's a great movie go watch it"
"34",4,"  I thought this was great. A little flawed, but still great. It just appeared that Spielberg really wanted to make Avatar, Lord Of The Rings, another Kubrick film, and everything else, and did just that in one movie. Still fun to see everything whizzing by though."
"35",0.5,"  Garbage.About 3% similar to the book."
"36",0.5,"  This movie sucked. They change everything that they could possibly have changed from the book. I loved the book, and was very bored and disappointed when watching the movie. Even if I didn't read the book, I still would have hated the movie."
"37",5,"  While it doesnt follow tbe plot points of the book the characters are faithful to their book versions and it is true to the spirit of the book. Very entertaining!"
"38",5,"  LOVED this movie, the pop culture references hit the sweet spot between not enough and too much. it was fun in its story and was very refreshing. I will be seeing it again."
"39",1.5,"  Didn't care for it. the graphics weren't that good, the jokes weren't funny, the story wasn't very engaging, the story had moments that were way too convenient, and the plot kind of just broke into pieces at the end."
"40",5,"  it was a cool movie. very creative.loved every minute of it."
"41",4.5,"  Good movie, surprisely funny. Enjoyable for a family or a date night."
"42",5,"  Loved it!! Ending dragged on a little, but was such an awesome movie and would 100% see again!"
"43",4,"  Ready Player is a solid movie with likeable characters and lots of nostalgia. Familiar faces I know of from video games are super cool to see and Spielberg placed them and used them well. I liked it."
"44",4,"  Ready Player One is almost like a cinematic sci-fi love letter to hardcore fans of 80's and 90's gaming, pop culture, movies, books, etc. And to an extent, a message to Generation X, Millenials, and generations beyond. It is a beautiful virtual world (like Tron: Legacy and Wreck it Ralph) built within the ""real world"" that could actually be one of mankind's possible futures. Now I've never read the source material but the film on it's own is just amazing. The CGI action is very good and the easter eggs are boundless, there will be something current or nostalgic here for everyone at some point that will touch your heart. While the visuals are great, there is a mystery, treasure hunting adventure here (and some romance) with a background of a very ultra materialistic (digital and physical) future for humankind. The plot is engaging enough that you almost forget that most of the world is now ""plugged in"" and escapes reality as much as possible. This itself will bring much discussion amongst your friends. I for one, would have loved if we could see more of the outside world. Just like you had to watch E.T., the first Jurassic Park or Star Wars, Indiana Jones or even Avatar; This movie has to be seen. Give it a shot, especially in IMAX 3D lol. Final Review: 9.5 out of 10"
"45",2.5,"  There are better and easier ways to watch a man jack his meat for 2 hours. Ready Player One relies on references as a crutch to support a stale story."
"46",3,"  Kind of routine actually, more people, less games, a nice ending."
"47",3.5,"  This movie was very cool and intense."
"48",4.5,"  Throughly entertaining, great soundtrack, packed with tons of references. Spielberg kills it again!"
"49",5,"  Was a very fun watch"
"50",3.5,"  I can't say if this movie sticks close to the book, but I will say it was a fun journey, overall. The movie relied heavily on the 80s nostalgia but they did so in a charming way. Only time will tell if it holds up in the future."
"51",1,"  Absolute abomination.Does not stay true to the book, it misses out all the best points in the story line and all the 80s culture /film/TV and music references. Spielberg has turned a geeky, interesting and clever book into a complete nonsense action film.Seriously disappointed in this film that I had been awaiting to see for a long time!"
"52",3.5,"  Wasn't expecting much. Spielberg can still schpiel. Remember Jaws?"
"53",0.5,"  Me recuerda a Sword Art On Line pero mal hecha y absurda, el uso de la nostalgia es lo que llama la atenci�n, la neta de weba esta pelicula."
"54",5,"  I created an account to rate this movie and Im 32. I hadn't read the book, and I'm sure the only true issue I have with the movie would be somewhat resolved in a novel. The only issue I held with the movie was the villain of the movie (IOI headed by a pretty typical protagonist). Other than that, the movie had me very engaged, and thoroughly entertained from start to finish. Given some time, I could probably come up with other plot holes and issues, like Ogg not already knowing how many references there were to his late wife in the archives, the villain giving away his plan to blow up Wade's house. Not to mention he hires a dude to do a job and blatantly tries to ruin his Bounty Hunter's plan. Either way, this movie gets a 5/5* stars from me and that's because the ending was absolutely perfect, and It truly gave a new feeling to what felt like a ride through a new world's Willy Wonka, with just as good of an ending with a message that should reach a digital audience on a personal level. *would give it 4/5, but I feel it deserves more than a simple 80% for an audience score. As I type this it was at 80%."
"55",4.5,"  I just saw 'Ready Player One' in IMAX 3D, and as of right now this is by far my favorite Sci-fi movie of all time! I love the visuals/animation, the sound was awesome, and this was certainly an Easter Egg hunt for me. Overall, I give this film a 9/10."
"56",4.5,"  A few significant departures from the book were taken in translating this story to the silver screen but overall it was done well and while the weakest link in my opinion in the movie are the two lead ""evil"" characters the rest of the screenplay tracked well to make for a fun and sweet movie with a wonderfully nostalgic soundtrack."
"57",5,"  This movie is a nostalgic blast from beginning to end. Needs to be seen on a big screen and more than one time to catch all the references.Not gonna spoil anything, needless to say you will not be disappointed!"
"58",0.5,"  Not the kind of crap expected from spillberg. Dissapointed."
"59",5,"  liked, it, love the story, like the way the character find out the problems, got a little not good at climax but the ending was smooth and great. love the drama and I hope there's sequel. May be this film like anime ""Sword Art Online"" which have another story but need more different and more exiting than first film."
"60",5,"  Amazing! rotten tomatoes dont know what there talking about giving it such a low score"
"61",0.5,"  Not the kind of crap expected from spillberg. Dissapointed."
"62",5,"  liked, it, love the story, like the way the character find out the problems, got a little not good at climax but the ending was smooth and great. love the drama and I hope there's sequel. May be this film like anime ""Sword Art Online"" which have another story but need more different and more exiting than first film."
"63",5,"  Amazing! rotten tomatoes dont know what there talking about giving it such a low score"
"64",4.5,"  Steven Spielberg has given us some cinematic gems of all time and this one is no different, this one is an instant classic and one I will be watching for a long time"
"65",5,"  This movie is just absolutely stunning. It's like watching 2 movies at once with the shining part. This movie is also filled to the brim with Easter eggs so that you can try and spot them out."
"66",4.5,"  Ready Player One was a movie I didn't really have high hopes for, but was I pleasantly surprised. Spielberg was able to combine pop culture references and dozens of movies and games to create a fun movie to please the nerd inside of us."
"67",4.5,"  Loved the film, Great storyline and characters. As a gamer since the age of 7 I saw a lot of easter eggs in the film and loved how they managed to get them put in there. Also some true stories from gaming history."
"68",1.5,"  Only followed the Plot summary of the book. Left out so much detail and information that made the book so awesome. Redbox at best. Not worth a trip to the theatre."
"69",4,"  Since the dawn of the Atari age man has searched for a decent video game movie. But in all those years there has only been one success, which succeeded because it was about video games rather than based on one. And now Steven Spielberg has built on that formula to create a true classis for the gamer generation.The first thing that strikes you is that this is an absolutely gorgeous movie. Avatar or Valerian level gorgeous. The character designs, worlds, and massive battles within the Oasis are well beyond anything that could be produced in the real world, and that's the point. Even non-gamers will understand the allure of spending your time and money in a place as wonderous and boundless as this. From a technical standpoint, the motion capture is state of the art and the textures and particle effects luscious. I wish the graphics on my PC could be this good.The pacing is fast and lean, and the action scenes breathtaking. There are shootouts, jaw dropping race sequences, and beautifully choreographed fight scenes- some of which spill over into the real world. And the final battle on Planet Doom is beyond even Peter Jackson's best. It occurred to me more than once that this movie is like the ultimate Twitch stream, only without the creepy commenters or expectation of tipping.This is a movie that more driven by action than acting, but I especially liked Ben Mendelsohn as slimy gaming company CEO Nolan Sorrento. He exudes a palpable aura of arrogance and self-importance. He's ruthless, scheming, somewhat megalomaniacal, but above all deeply frustrated that these kids keep inconveniencing him by thwarting his evil schemes. Evil schemes that aren't that different from some of the industry's more abusive practices today. It's not very hard to imagine this guy as the head of EA, trying to bluff his way through a Q&A at E3.And of course, there are the Easter eggs. Enough eggs to fill hundreds of baskets, or whatever the digital equivalent is. Loot crates? Bags of holding? Whatever. The point is virtually every popular or cult movie, TV show, and video game of the last forty odd years is referenced, along with some much older. It would take dozens of viewings- or help from the internet- to spot them all. I know I haven't. What's particularly interesting is that many of them are plot relevant, because the story is about parsing subtle references to find the egg that will grant admin privileges for the OasisThe biggest criticism leveled at this movie is that it's rather shallow for a Spielberg production. Perhaps there's some truth to that. It certainly doesn't have the depth of Schindler's List, Munich, or even Jurassic Park. But then Jaws and Tintin weren't exactly cerebral either. And Player One does make for an interesting commentary on both the positive and negative social aspects of video games and the internet, even if it's not explored as fully as it could have been. And it's honestly quite refreshing that in a movie about virtual reality, the moral of the story is that you have to unplug and live in the real world some times.So Ready Player One isn't Spielberg's deepest movie, or his best. But it just might be his most fun."
"70",5,"  More then just a video game movie. Might have even forced gamers like myself to take a long hard look in the LCD screen."
"71",3.5,"  A fun bit of film making that will wisk you away for a couple of hours, and blast about a billion pop culture references by you at break-neck speed. It's not the book, but it keeps the tone and spirit."
"72",5,"  I went to go see this in imax and it kept me on the seat of my chair,I enjoyed how the movie was kept relevant to a path we may be going down ourselves. Also I would recommend this movie to anyone that would ask about it especially if you love video games."
"73",5,"  One of the best films I've seen in a while."
"74",5,"  I see a lot of movies. I am not a professional, I am just a geek. Having said that, I loved this movie. They managed to do a good job of mixing the virtual world with real world and making the danger be in both worlds. It was very well thought out. I was skeptical at first, I am not a fan of dystopian society movies, however it was very good. Of course it would be a Steven Spielberg movie. He only does good movies. I don't think I have ever seen a movie that he has made that wasn't good. He is just a great story teller. Very talented and seems to think outside the box. They say that Hollywood doesn't have any good ideas left. I think Steven still has a great deal to offer the world. This movie was awesome."
"75",4,"  Great film. Think I liked it more because I had no expectations for it but had a lot of fun watching it. 4/5"
"76",3,"  Read the book. The movie does a good job building the world and then quits before developing characters or plot. It also eschews the most trenchant cultural criticism. For what I assume are legal reasons, it narrows the worlds of characters it inserts, sticking with the Warner Brothers and Amblin properties. Other decisions shorten the story line, reduce the proportion of time spent in virtual reality, and make the movie acceptable to a wider audience. And others are probably a combination of all these. We're left with a team without the team-building, internal conflict without depth, and cultural criticism without much reflection. This is one of Spielberg's competent contributions, not a triumph."
"77",2,"  A beautifully boring ride.It was really interesting to look at and experience, and some of the cameos were exciting to see. But, none of the characters came across as real people, the love story felt very contrived, and the main character never had a crisis of faith in himself or internal conflict. He came across as overly capable for each situation and almost impossible to relate with."
"78",5,"  Best gaming and nostalgia movie ever!"
"79",2,"  A haphazardly reconstructed version of the book meant to be compressed not just for a film's length, but for a short attention span. Visually fun and light, but weak in adapting a film-ready book."
"80",5,"  best movie this year so far !"
"81",4,"  A normal story with fantastic visual impacts and cultural conferences."
"82",2.5,"  Watching this movie after reading the book left me with the feeling of being scammed. Sure the general plot was loosely the same but the characters were different and the competition was completely different. I felt like the screen writers based this movie off the cliff notes they read as this movie is not the same. Perhaps the kindest way I can describe it is that the movie was inspired by a conversation the writers had with someone they talked to who read the book. If I had not have read the book the movie would be a 4.5 out of 10 as the story was choppy and characters interactions felt forced. I'm not sure who dropped the ball but I think Spielberg lost his magic with the last Indiana Jones."
"83",5,"  So good! I felt 12 again."
"84",5,"  Spielberg isn't into making sequels and they way he adapted the book into this movie speaks volumes!...the movie is fun, a fresh journey and at all times it's an experience unlike other movies... Spielberg at his best. Loved the book and I Love Spielbergs adaptation."
"85",4,"  Spielberg manages to capture his magic again. Slick, faithful to the book and full of so many pop culture references it may warrant a second viewing. Eighties junkies will lap it up and its great to see so many different franchises mashed together. I really enjoyed it."
"86",5,"  Absolutely incredible !"
"87",4,"  If you expect a 1/1 of the book, save your time (if you have payed just a little attention you should know that has never been the plan)! But if you liked the universe Ernest Cline created and are in love with Spielberg's adventure movies PLEASE do not hesitate to see this! Is it a masterpiece? No... But I will guarantee you will be entertained. If not by the story, then by the breathtaking OASIS-universe! And I'm sorry but who the F*** can argue with a shitload of references from some of the most iconic and popular movies and games of all time?!One thing is for certain... I will go watch the movie again while it's in the cinema! And I NEVER see a movie twice until it goes on VHS/DVD/BRD/UHD. FIN"
"88",3,"  The CGI imaginary word of the Oasis is better realised than the 'real' world of 2047 but it's fun to spot the Easter Eggs from the word of films - although most are signposted rather than hidden. Popcorn."
"89",1.5,"  Boring formulaic hokey Spielberg crap. Just a lot of CG and loud noise with silly cliches and ""duh"" moments. A forgettable weekend movie for kids who don't live in the real world."
"90",3,"  Not a bad movie, but it definitely left much to be desired. I enjoyed the references however sometimes it seemed too forced. While it was a complete, okay movie, it wasn't fun,"
